"Row.names"	"mzmed"	"mzmin"	"mzmax"	"rtmed"	"rtmin"	"rtmax"	"npeaks"	"X1"	"ms_level"	"B1_NIST1950_1_6540.mzML"	"B1_NIST1950_2_6540.mzML"	"B1_NIST1950_3_6540.mzML"
"FT3112"	478.396401449624	478.396401449624	478.396401449624	52.3147850036621	52.3147850036621	52.3147850036621	1	1	1	7787.77450397378	3868.20503003802	3688.93508369615
"FT3113"	478.826423469598	478.826423469598	478.826423469598	441.091949462891	441.091949462891	441.091949462891	1	1	1	NA	578.737087313334	1814.55849348713
"FT3114"	478.917771022503	478.917771022503	478.917771022503	60.819580078125	60.819580078125	60.819580078125	1	1	1	100172.875748895	2038.50535197635	286.049772505698
"FT3115"	479.226935775896	479.226935775896	479.226935775896	70.0401306152344	70.0401306152344	70.0401306152344	1	1	1	5452.13464956173	4983.28446382805	5640.85405334303
"FT3116"	479.311039583493	479.284409516232	479.338095469376	48.59450000001	47.0989570617676	49.0939750671387	4	2	1	1987.3393425603	48728.5948184272	54977.1217697684
"FT3117"	479.337343303111	479.337343303111	479.337343303111	55.1852531433105	55.1852531433105	55.1852531433105	1	1	1	50796.3861351013	30939.79905655	26975.3836873886
"FT3118"	479.297058075352	479.297023577985	479.297092572719	70.4105567932129	69.0431289672852	71.7779846191406	2	2	1	25426.7492814488	21766.4236730114	20732.484769585
"FT3119"	479.3875031708	479.368718973228	479.406287368373	54.2323226928711	54.2323226928711	54.2323226928711	2	1	1	26606.4188010945	NA	NA
"FT3120"	479.369453980707	479.368619604573	479.37028835684	47.0984785308938	47.09800000002	47.0989570617676	2	2	1	15317.7049171951	23205.1566540527	18443.5904040527
"FT3121"	479.830309054553	479.830268894191	479.832225303423	785.214	783.218994140625	786.212036132812	3	3	1	4513.67058632511	6584.41898088998	6319.49903151366
"FT3122"	480.307050693009	480.306145600366	480.307732796805	69.0431289672852	68.04499999998	72.6777648925781	3	3	1	14698.1469053292	12396.2659176468	12834.3501688407
"FT3123"	480.312569328243	480.285282641807	480.339856014678	53.7542533874512	53.2761840820312	54.2323226928711	2	1	1	6222.71148284912	NA	NA
"FT3124"	480.33998269045	480.33991949991	480.340045880989	48.5949875335693	48.096	49.0939750671387	2	2	1	15891.6685956438	14862.7914305878	15093.5106236951
"FT3125"	480.84418661585	480.841241605032	480.846735236826	787.208984375	785.213989257812	787.209	3	3	1	4562.99548811742	2640.81371665694	4084.55224211042
"FT3126"	481.19320229854	481.192949942133	481.193863195047	195.71899999998	195.708618164062	196.615829467773	3	3	1	4226.92782591643	4500.91258678435	4578.40107927243
"FT3127"	481.162602980106	481.162355632951	481.163607141269	383.23999999998	382.243011474609	383.246154785156	3	3	1	4811.52121925355	2474.07028154482	2849.53943424226
"FT3128"	481.20745722373	481.20745722373	481.20745722373	118.915023803711	118.915023803711	118.915023803711	1	1	1	3068.83031687699	1357.17442951242	3548.27351939358
"FT3129"	481.318308478498	481.28199403129	481.353581257195	53.5815134429832	49.09300000002	58.0185966491699	6	3	1	80617.4498497009	21583.0462618244	21841.072973945
"FT3130"	481.243221129176	481.242976671998	481.306255720417	69.5416297912598	68.04499999998	72.6777648925781	4	3	1	20890.8170694904	13920.2578255543	3189.88013145677
"FT3131"	481.422259974206	481.421847697306	481.42298084279	49.0939750671387	49.09300000002	54.2323226928711	3	3	1	24295.8313671112	19410.4611806496	19585.0408209253
"FT3132"	481.886067390178	481.885474726655	481.886302364498	248.58400000002	248.561050415039	249.564254760742	3	3	1	18102.2718740845	16714.2635579603	15771.130299391
"FT3133"	482.049222992515	482.049222992515	482.049222992515	86.0994186401367	86.0994186401367	86.0994186401367	1	1	1	4901.06489593506	899.146272763668	553.49052139977
"FT3134"	482.155011230202	482.155011230202	482.155011230202	287.485015869141	287.485015869141	287.485015869141	1	1	1	3245.98636539313	1379.78101873576	772.910213173212
"FT3135"	482.284010100703	482.279499626543	482.284473366103	58.0185966491699	54.0810317993164	59.06800000002	3	3	1	7782.75478074222	2196.31008840392	6837.05523848298
"FT3136"	482.356282444278	482.356038456276	482.357264428779	49.0939750671387	49.09300000002	54.2323226928711	3	3	1	24148.4673377927	25864.3241670802	23454.5313389466
"FT3137"	482.841451483337	482.841399133068	482.841503833605	786.211518066416	786.21100000002	786.212036132812	2	2	1	3913.38585465414	7062.21182355969	8077.90764359892
"FT3138"	483.064310419382	483.063891395618	483.065441473608	95.97412109375	95.973	96.9399642944336	3	3	1	4331.85766753275	3472.57896011353	4135.38107599459
"FT3139"	483.223981759922	483.223900392264	483.224340513879	63.05810546875	62.05999999998	67.2513961791992	3	3	1	35127.5355484563	18658.9900246079	15674.6601890208
"FT3140"	483.353694355671	483.353694355671	483.353694355671	74.030143737793	74.030143737793	74.030143737793	1	1	1	1600.17752492102	3178.20209976939	3502.41008304203
"FT3141"	483.350985062723	483.350985062723	483.350985062723	78.0559997558594	78.0559997558594	78.0559997558594	1	1	1	5315.55838325501	1524.65767645463	989.061346678063
"FT3142"	483.298132545838	483.29338083441	483.441237513815	56.1332206726074	54.2323226928711	59.889591217041	5	3	1	106577.54201507	8662.75614066454	6826.84348571778
"FT3143"	483.404562494661	483.367936500659	483.440974216112	50.09050000002	48.0959663391113	51.0880012512207	4	2	1	NA	93984.9117153812	100151.890278168
"FT3144"	484.219111029383	484.217600210235	484.220470266826	63.05810546875	63.057	66.3406372070312	3	3	1	17286.1766343726	12458.4838572593	9332.55719297572
"FT3145"	484.408283340739	484.371489584891	484.444768088816	51.0880006256204	48.0959663391113	56.1332206726074	6	3	1	31009.8482360458	30142.1003925798	32501.5987367905
"FT3146"	484.283794818584	484.282815625113	484.284774012056	59.5670429077248	59.06800000002	60.0660858154297	2	2	1	5494.1580176417	8022.64331127173	8827.96472830762
"FT3147"	484.283479882964	484.283479882964	484.283479882964	66.3406372070312	66.3406372070312	66.3406372070312	1	1	1	5994.24366351281	2126.89523386309	2253.74358715262
"FT3148"	484.849962640087	484.849390648351	484.850447475865	786.21100000002	784.216979980469	786.212036132812	3	3	1	25087.0216714557	21990.0947988198	22775.828416188
"FT3149"	485.151626154688	485.149504712826	485.151690487856	449.071899414062	446.080017089844	450.07000000002	3	3	1	9482.49113493078	8378.22686768698	9628.8217656481
"FT3150"	485.165574098336	485.165574098336	485.165574098336	293.469024658203	293.469024658203	293.469024658203	1	1	1	2438.26806302045	NA	749.986238276679
"FT3151"	485.316612353435	485.314902809464	485.318321897406	53.5815224456687	52.08499999998	55.0780448913574	2	2	1	7523.07235523216	12901.0910408998	7807.26335237338
"FT3152"	485.315702221334	485.315702221334	485.315702221334	59.889591217041	59.889591217041	59.889591217041	1	1	1	7363.22748023856	586.35230388667	1858.56262643842
"FT3153"	485.381379739136	485.380943570849	485.38167542849	49.09300000002	48.0959663391113	53.2761840820312	3	3	1	34112.2368448525	31505.1645210422	33318.3570278865
"FT3154"	485.653039671517	485.652519859839	485.653559483195	447.576008544912	446.080017089844	449.07199999998	2	2	1	4739.22212605344	2371.82710989874	2410.66825583294
"FT3155"	486.279259610455	486.277463096499	486.281056124411	63.2855949401855	62.0600967407227	64.5110931396484	2	2	1	4137.73225227356	2413.29374900266	3407.61160624519
"FT3156"	486.385776606929	486.385606497798	486.385946716061	46.5999785308838	46.101	47.0989570617676	2	2	1	NA	6142.63206230164	5069.93980728149
"FT3157"	486.386146466105	486.386146466105	486.386146466105	52.3147850036621	52.3147850036621	52.3147850036621	1	1	1	8037.86359240095	NA	NA
"FT3158"	487.131171824317	487.130556073185	487.131356533615	194.711853027344	194.618530273438	194.721	3	3	1	6549.82585144044	7756.29946023281	8031.13204238892
"FT3159"	487.178040070264	487.176594461734	487.178425665249	383.23999999998	383.239990234375	384.242950439453	3	3	1	3986.75279777525	4168.42103570145	3823.40860732177
"FT3160"	487.200260702907	487.199492499888	487.201996133501	77.0221481323242	77.022	79.8433303833008	3	3	1	6627.33641848725	5523.50328832565	6320.77534828729
"FT3161"	487.131679200391	487.130623608098	487.132734792683	276.505661010742	275.501434326172	277.509887695312	2	2	1	1663.20972973076	NA	1781.99775318146
"FT3162"	487.315443592351	487.292761973185	487.338125211516	58.0991103362937	56.1332206726074	60.06499999998	2	2	1	25695.0402763652	3245.64038938234	NA
"FT3163"	487.365335708481	487.365038139299	487.365341296981	59.0680770874023	58.06999999998	63.592945098877	3	3	1	30606.9274063351	41988.9127509164	44737.6620327759
"FT3164"	488.06474498689	488.06474498689	488.06474498689	42.4388656616211	42.4388656616211	42.4388656616211	1	1	1	3053.91796966553	NA	414.271484257936
"FT3165"	488.124559182402	488.123874026082	488.19183870244	66.2378425598145	65.052	69.0674133300781	4	3	1	7616.3923586714	5116.64693007569	4688.36135517977
"FT3166"	488.191859709005	488.190496009645	488.193223408366	60.5645429077248	60.0660858154297	61.06300000002	2	2	1	5066.48057724495	6717.9450312055	6283.29910298331
"FT3167"	488.369311315303	488.367637212405	488.36977069347	58.0710716247559	58.06999999998	62.6711158752441	3	3	1	13904.0628492251	12965.8294139509	14116.6282042171
"FT3168"	489.195209017332	489.195209017332	489.195209017332	60.06499999998	60.06499999998	60.06499999998	1	1	1	NA	2305.148517578	1083.31656290069
"FT3169"	489.358967869254	489.358025646807	489.389934014351	51.08800000002	48.0959663391113	57.0773010253906	5	3	1	91798.5321680142	15874.9739620972	88754.3582825599
"FT3170"	490.361430374072	490.360963265871	490.361470352104	49.0939750671387	49.09300000002	54.2323226928711	3	3	1	32122.0885248142	31432.9208298685	30199.8881591991
"FT3171"	490.858644198617	490.858321749858	490.860324392955	788.20600000002	787.208984375	788.20703125	3	3	1	5585.46992063965	4045.71826538091	5303.87491184236
"FT3172"	491.054838490502	491.054838490502	491.054838490502	299.448852539062	299.448852539062	299.448852539062	1	1	1	1161.85448598862	978.545463037491	3728.25028312684
"FT3173"	491.289617596181	491.289617596181	491.289617596181	70.8758239746094	70.8758239746094	70.8758239746094	1	1	1	2924.72411867916	934.900733386907	1978.45018110555
"FT3174"	491.321425059456	491.321215263712	491.373219285492	56.07499999998	53.2761840820312	57.0730590820312	3	3	1	127616.171993866	4532.36002514629	4454.43888301772
"FT3175"	491.373443916343	491.373439498377	491.37344833431	48.0959831695557	48.0959663391113	48.096	2	2	1	122338.94773046	115589.088857531	116988.206425378
"FT3176"	492.119588478866	492.119550336384	492.120589768136	352.31899999998	351.322021484375	352.33056640625	3	3	1	4750.69024887089	5177.141538783	3374.42326918709
"FT3177"	492.377169318403	492.376843152473	492.377691984684	49.09300000002	48.0959663391113	53.2761840820312	3	3	1	41557.6580296326	40714.8982897252	37051.4332296866
"FT3178"	492.826125999771	492.823299091691	492.826612766918	785.214	784.216979980469	786.212036132812	3	3	1	4747.18932174633	4131.32632541657	4295.54705333188
"FT3179"	492.869812202622	492.868468963577	492.871155441667	787.707489746104	786.21100000002	789.203979492188	2	2	1	1224.79204762179	2751.69899120232	2109.10592258228
"FT3180"	493.388631036177	493.388552986456	493.38891437576	48.096	48.0959663391113	53.2761840820312	3	3	1	148043.023510198	133880.607070389	129086.952035421
