,mz,rt,rt_start,rt_end,B1_NIST1950_1_6540.mzML,B1_NIST1950_2_6540.mzML,B1_NIST1950_3_6540.mzML,classification
FT0728,173.993960554341,0.9844679514567051,0.984466666667,1.0598824183146167,300378.018209057,275304.564890994,282893.050873949,1.0
FT0223,107.037203735636,1.36683578491211,1.36683578491211,1.36683578491211,3610.00755942878,3487.89287023348,7152.47201522827,1.0
FT0990,202.053166970385,1.0842,0.99815985361735,1.0842,8916.71545613272,5267.46291106262,2037.96318079091,0.0
FT1243,227.067787593342,6.0549354553222665,6.054849751790367,6.055021158854166,17082.6660282414,14670.8382573085,16308.7810384676,0.0
FT0840,187.06148933548,5.4565292358398505,5.4565292358398505,5.4565292358398505,13960.57630189,15472.1433468082,13349.7531777057,1.0
FT1652,261.729070145099,4.974283333333,4.974283333333,4.974283333333,2550.76740197752,2705.97669422148,1616.72055413817,1.0
FT1602,256.236498044302,10.759516398111982,10.759516398111982,10.759516398111982,40201.0016662414,22483.4868958915,18335.0470937746,0.0
FT0229,108.021724967183,1.017716666667,0.99815985361735,1.0177182515462233,59953.3722799187,19152.9461823319,24107.0832590099,0.0
FT3207,498.952670166546,10.04466654459635,10.04466654459635,10.04466654459635,137260.885096223,132498.934834929,120176.672444221,0.0
FT1137,218.103267982139,2.031800587972,2.031783333333,2.04788665771485,56951.3980244957,58644.4275037739,59888.4516068235,1.0
FT0958,198.935667089299,1.0554162091573083,0.9825892766316733,1.0675851186116534,22135.0449353979,3159.85773225654,2661.13927638353,0.0
FT2809,419.186193982236,5.389884440104167,5.389884440104167,5.389884440104167,2556.26633434918,693.57738230424,875.298238909338,0.0
FT3513,568.465637849315,0.7766663088480634,0.76835,0.7849826176961266,13846.9974778533,14778.2283030657,20026.0866503906,1.0
FT0053,61.9886018910016,6.079866015624833,6.071483333333,6.088248697916667,471077.665170535,489116.490243854,441689.300987331,0.0
FT0938,196.938294268481,9.562566121419268,9.562566121419268,9.562566121419268,227309.585221416,247503.380729724,226784.845294833,0.0
FT1647,261.038696202025,6.03839009602865,6.0382334391276,6.05485,94092.6356040184,96251.5959020867,127303.711723553,1.0
FT1296,233.154548993128,0.9678511937459316,0.9678333333329999,1.044518597920735,33230.4102827453,28258.3146606995,28732.3485568765,1.0
FT4149,1085.29680163336,7.484533333333,7.451283772786467,7.5011484781901006,2753.46791419072,3370.904208587,2390.81403567026,0.0
FT3087,474.191634760286,1.4407838821411132,1.4167023976643882,1.4648653666178384,4756.19571680211,3849.20072765136,5154.12155908747,0.0
